2026-06-16 06:00:00 | Battery  | INFO     | Charge current: 23.4A
2026-06-16 06:23:32 | Battery  | INFO     | Voltage measured: 403.6V
2026-06-16 06:24:13 | Thermal  | INFO     | Coolant loop flow: 8.61 L/min
2026-06-16 06:24:54 | Site     | INFO     | Heartbeat OK
2026-06-16 06:25:43 | Thermal  | INFO     | Fan speed: 2861 RPM
2026-06-16 06:26:18 | Battery  | INFO     | SOC reading: 34.7%
2026-06-16 06:26:53 | Inverter | INFO     | Grid frequency: 49.95 Hz
2026-06-16 06:27:39 | Battery  | INFO     | Voltage measured: 412.8V
2026-06-16 06:28:11 | Battery  | INFO     | Discharge current: 42.9A
2026-06-16 06:28:57 | Battery  | INFO     | Charge current: 21.2A
2026-06-16 06:29:41 | BMS      | INFO     | Max cell voltage diff: 0.04V
2026-06-16 06:30:32 | Battery  | INFO     | SOC reading: 86.8%
2026-06-16 06:31:24 | BMS      | INFO     | Max cell voltage diff: 0.04V
2026-06-16 06:32:09 | Battery  | INFO     | Charge current: 45.5A
2026-06-16 06:32:40 | Battery  | INFO     | Discharge current: 45.6A
2026-06-16 06:33:14 | Battery  | INFO     | SOC reading: 37.0%
2026-06-16 06:33:47 | Battery  | INFO     | SOC reading: 65.3%
2026-06-16 06:34:18 | Battery  | INFO     | SOC reading: 32.9%
2026-06-16 06:34:49 | BMS      | INFO     | Max cell voltage diff: 0.03V
2026-06-16 06:35:19 | Thermal  | INFO     | Coolant loop flow: 9.96 L/min
2026-06-16 06:35:51 | Inverter | INFO     | Grid frequency: 50.05 Hz
2026-06-16 06:36:38 | Battery  | INFO     | Charge current: 20.9A
2026-06-16 06:37:21 | Site     | INFO     | Heartbeat OK
2026-06-16 06:38:03 | Battery  | INFO     | Discharge current: 37.8A
2026-06-16 06:38:35 | Battery  | INFO     | SOC reading: 46.7%
2026-06-16 06:39:11 | Battery  | INFO     | Discharge current: 71.6A
2026-06-16 06:39:55 | Battery  | INFO     | SOC reading: 90.5%
2026-06-16 06:40:39 | Battery  | INFO     | Charge current: 71.4A
2026-06-16 06:41:07 | Thermal  | INFO     | Temperature reading: 26.4°C
2026-06-16 06:41:55 | Thermal  | INFO     | Coolant loop flow: 10.28 L/min
2026-06-16 06:42:31 | Inverter | INFO     | AC output: 183.5 kW
2026-06-16 06:43:10 | Thermal  | INFO     | Temperature reading: 30.6°C
2026-06-16 06:44:02 | Inverter | INFO     | AC output: 140.6 kW
2026-06-16 06:44:49 | Thermal  | INFO     | Coolant loop flow: 11.44 L/min
2026-06-16 06:45:23 | Thermal  | INFO     | Coolant loop flow: 10.77 L/min
2026-06-16 07:15:00 | Battery | SOC reading: 51.2%
2026-06-16 06:46:14 | Thermal  | INFO     | Coolant loop flow: 8.30 L/min
2026-06-16 06:46:57 | Battery  | INFO     | Charge current: 12.6A
2026-06-16 06:47:25 | Thermal  | INFO     | Temperature reading: 29.5°C
2026-06-16 06:47:59 | Inverter | INFO     | Grid frequency: 50.05 Hz
2026-06-16 06:48:41 | Thermal  | INFO     | Coolant loop flow: 10.39 L/min
2026-06-16 06:49:20 | BMS      | INFO     | Max cell voltage diff: 0.02V
2026-06-16 06:49:55 | Battery  | INFO     | SOC reading: 55.8%
2026-06-16 06:50:33 | Battery  | INFO     | Voltage measured: 434.3V
2026-06-16 06:51:20 | Thermal  | INFO     | Coolant loop flow: 9.42 L/min
2026-06-16 06:52:08 | Battery  | INFO     | Charge current: 67.2A
2026-06-16 06:52:57 | Battery  | INFO     | SOC reading: 50.0%
2026-06-16 06:53:47 | Thermal  | INFO     | Temperature reading: 29.6°C
2026-06-16 06:54:20 | Battery  | INFO     | Discharge current: 66.6A
2026-06-16 06:54:50 | Thermal  | INFO     | Coolant loop flow: 11.39 L/min
2026-06-16 06:55:30 | Battery  | INFO     | Discharge current: 76.2A
2026-06-16 06:56:00 | Thermal  | INFO     | Temperature reading: 24.1°C
2026-06-16 06:56:32 | Battery  | INFO     | SOC reading: 64.5%
2026-06-16 06:57:14 | Thermal  | INFO     | Coolant loop flow: 8.08 L/min
2026-06-16 06:58:01 | Site     | INFO     | Heartbeat OK
2026-06-16 06:58:50 | Thermal  | INFO     | Fan speed: 1219 RPM
2026-06-16 06:59:35 | Inverter | INFO     | AC output: 43.4 kW
2026-06-16 07:00:26 | Inverter | INFO     | Grid frequency: 50.00 Hz
2026-06-16 07:00:58 | Battery  | INFO     | Discharge current: 87.6A
2026-06-16 07:01:32 | Battery  | INFO     | SOC reading: 37.3%
2026-06-16 07:02:16 | Battery  | INFO     | Voltage measured: 431.9V
2026-06-16 07:02:52 | Inverter | INFO     | AC output: 171.8 kW
2026-06-16 07:03:21 | Thermal  | INFO     | Fan speed: 1624 RPM
2026-06-16 07:04:03 | Inverter | INFO     | Grid frequency: 50.03 Hz
2026-06-16 07:04:47 | Battery  | INFO     | Discharge current: 91.7A
2026-06-16 07:05:31 | Battery  | INFO     | SOC reading: 32.9%
2026-06-16 07:06:15 | Battery  | INFO     | SOC reading: 53.7%
2026-06-16 07:06:48 | Inverter | INFO     | Grid frequency: 50.03 Hz
2026-06-16 07:07:20 | Battery  | INFO     | SOC reading: 56.1%
2026-06-16 07:08:11 | Battery  | INFO     | SOC reading: 26.4%
2026-06-16 07:42 | Thermal | INFO | Temperature reading: 24.1°C
2026-06-16 07:09:00 | Inverter | INFO     | AC output: 127.8 kW
2026-06-16 07:09:52 | Battery  | INFO     | SOC reading: 62.3%
2026-06-16 07:10:27 | Battery  | INFO     | Voltage measured: 397.7V
2026-06-16 07:10:58 | Inverter | INFO     | AC output: 128.8 kW
2026-06-16 07:11:50 | Thermal  | INFO     | Fan speed: 1029 RPM
2026-06-16 07:12:32 | Battery  | INFO     | Charge current: 96.6A
2026-06-16 07:13:19 | Inverter | INFO     | AC output: 149.5 kW
2026-06-16 07:14:01 | Inverter | INFO     | AC output: 167.6 kW
2026-06-16 07:14:45 | BMS      | INFO     | Max cell voltage diff: 0.04V
2026-06-16 07:15:21 | Thermal  | INFO     | Fan speed: 2728 RPM
2026-06-16 07:15:55 | Thermal  | INFO     | Coolant loop flow: 8.05 L/min
2026-06-16 07:16:26 | Battery  | INFO     | Charge current: 38.1A
2026-06-16 07:17:15 | Battery  | INFO     | Voltage measured: 399.6V
2026-06-16 07:18:04 | Battery  | INFO     | Charge current: 20.9A
2026-06-16 07:18:56 | Battery  | INFO     | SOC reading: 73.6%
2026-06-16 07:19:45 | Battery  | INFO     | Charge current: 32.5A
2026-06-16 07:20:17 | BMS      | INFO     | Max cell voltage diff: 0.02V
2026-06-16 07:20:48 | Battery  | INFO     | Charge current: 53.4A
2026-06-16 07:21:37 | Thermal  | INFO     | Coolant loop flow: 8.15 L/min
2026-06-16 07:22:18 | Site     | INFO     | Heartbeat OK
2026-06-16 07:22:58 | Battery  | INFO     | Charge current: 27.4A
2026-06-16 07:23:36 | Battery  | INFO     | SOC reading: 48.3%
2026-06-16 07:24:14 | Inverter | INFO     | AC output: 109.6 kW
2026-06-16 07:24:42 | Battery  | INFO     | Charge current: 56.1A
2026-06-16 07:25:19 | Inverter | INFO     | AC output: 50.2 kW
2026-06-16 07:25:54 | BMS      | INFO     | Max cell voltage diff: 0.01V
2026-06-16 07:26:30 | Battery  | INFO     | Voltage measured: 452.1V
2026-06-16 07:27:03 | Battery  | INFO     | Voltage measured: 403.2V
2026-06-16 07:27:44 | Thermal  | INFO     | Coolant loop flow: 10.20 L/min
2026-06-16 07:28:20 | Battery  | INFO     | Discharge current: 57.8A
2026-06-16 07:29:04 | Inverter | INFO     | AC output: 150.7 kW
2026-06-16 07:29:34 | Battery  | INFO     | Voltage measured: 445.4V
2026-06-16 07:30:07 | Battery  | INFO     | Discharge current: 16.4A
2026-06-16 07:30:35 | Inverter | INFO     | Grid frequency: 50.03 Hz
CORRUPTED ENTRY ### sensor dropout
2026-06-16 07:31:05 | Inverter | INFO     | Grid frequency: 49.97 Hz
2026-06-16 07:31:41 | Thermal  | INFO     | Coolant loop flow: 9.32 L/min
2026-06-16 07:32:19 | Site     | INFO     | Heartbeat OK
2026-06-16 07:33:00 | Thermal  | INFO     | Fan speed: 1448 RPM
2026-06-16 07:33:47 | Battery  | INFO     | SOC reading: 59.9%
2026-06-16 07:34:22 | Thermal  | INFO     | Fan speed: 2884 RPM
2026-06-16 07:34:55 | Battery  | INFO     | Voltage measured: 406.4V
2026-06-16 07:35:32 | Inverter | INFO     | Grid frequency: 50.00 Hz
2026-06-16 07:36:06 | Battery  | INFO     | Voltage measured: 426.5V
2026-06-16 07:36:39 | Battery  | INFO     | Voltage measured: 445.6V
2026-06-16 07:37:15 | Battery  | INFO     | SOC reading: 23.3%
2026-06-16 07:37:59 | Inverter | INFO     | AC output: 69.9 kW
2026-06-16 07:38:42 | Battery  | INFO     | Voltage measured: 423.2V
2026-06-16 07:39:31 | Thermal  | INFO     | Coolant loop flow: 9.23 L/min
2026-06-16 07:40:14 | Inverter | INFO     | AC output: 180.4 kW
2026-06-16 07:40:58 | Battery  | INFO     | Charge current: 29.2A
2026-06-16 07:41:33 | Battery  | INFO     | Charge current: 84.1A
2026-06-16 07:42:23 | Thermal  | INFO     | Temperature reading: 23.5°C
2026-06-16 07:43:02 | Site     | INFO     | Heartbeat OK
2026-06-16 07:43:34 | Battery  | INFO     | SOC reading: 67.0%
2026-06-16 07:44:10 | Battery  | INFO     | Discharge current: 14.9A
2026-06-16 07:44:59 | Thermal  | INFO     | Coolant loop flow: 10.98 L/min
2026-06-16 07:45:48 | BMS      | INFO     | Max cell voltage diff: 0.03V
2026-06-16 07:46:38 | Battery  | INFO     | Voltage measured: 423.9V
2026-06-16 07:47:11 | Battery  | INFO     | Voltage measured: 395.2V
2026-06-16 07:47:50 | BMS      | INFO     | Max cell voltage diff: 0.05V
2026-06-16 07:48:35 | Battery  | INFO     | Charge current: 13.1A
2026-06-16 07:49:12 | Battery  | INFO     | Voltage measured: 406.5V
2026-06-16 07:49:50 | Battery  | INFO     | Charge current: 52.2A
2026-06-16 07:50:34 | Inverter | INFO     | Grid frequency: 49.97 Hz
2026-06-16 07:51:26 | Battery  | INFO     | SOC reading: 41.0%
2026-06-16 07:51:56 | Battery  | INFO     | SOC reading: 64.2%
2026-06-16 07:52:36 | Battery  | INFO     | SOC reading: 43.9%
2026-06-16 07:53:11 | Battery  | INFO     | SOC reading: 90.9%
2026-06-16 08:05:00 || INFO | Grid frequency: 49.98 Hz
2026-06-16 07:54:03 | Battery  | INFO     | SOC reading: 86.3%
2026-06-16 07:54:50 | Battery  | INFO     | Charge current: 39.0A
2026-06-16 07:55:33 | Battery  | INFO     | SOC reading: 74.1%
2026-06-16 07:56:21 | Battery  | INFO     | SOC reading: 81.4%
2026-06-16 07:57:11 | Thermal  | INFO     | Fan speed: 2184 RPM
2026-06-16 07:57:52 | Thermal  | INFO     | Temperature reading: 35.6°C
2026-06-16 07:58:24 | Thermal  | INFO     | Fan speed: 2441 RPM
2026-06-16 07:59:08 | Inverter | INFO     | AC output: 168.4 kW
2026-06-16 07:59:36 | Thermal  | INFO     | Coolant loop flow: 9.84 L/min
2026-06-16 08:00:26 | Inverter | INFO     | Grid frequency: 50.02 Hz
2026-06-16 08:01:01 | Battery  | INFO     | SOC reading: 25.0%
2026-06-16 08:01:49 | Battery  | INFO     | Charge current: 19.3A
2026-06-16 08:02:31 | Inverter | INFO     | AC output: 139.2 kW
2026-06-16 08:03:19 | Inverter | INFO     | AC output: 78.6 kW
2026-06-16 08:03:55 | Battery  | INFO     | SOC reading: 79.4%
2026-06-16 08:04:46 | Thermal  | INFO     | Fan speed: 2738 RPM
2026-06-16 08:05:31 | Battery  | INFO     | SOC reading: 59.9%
2026-06-16 08:06:22 | Thermal  | INFO     | Temperature reading: 25.5°C
2026-06-16 08:06:52 | Thermal  | INFO     | Coolant loop flow: 8.44 L/min
2026-06-16 08:07:44 | Battery  | INFO     | Voltage measured: 441.6V
2026-06-16 08:08:26 | Battery  | INFO     | Discharge current: 44.0A
2026-06-16 08:09:09 | Thermal  | INFO     | Fan speed: 1488 RPM
2026-06-16 08:10:01 | Battery  | INFO     | SOC reading: 67.6%
2026-06-16 08:10:35 | Battery  | INFO     | SOC reading: 32.6%
2026-06-16 08:11:11 | Inverter | INFO     | Grid frequency: 50.02 Hz
2026-06-16 08:11:58 | Inverter | INFO     | AC output: 42.0 kW
2026-06-16 08:12:27 | Battery  | INFO     | Discharge current: 96.6A
2026-06-16 08:12:58 | Inverter | INFO     | Grid frequency: 50.02 Hz
2026-06-16 08:13:35 | Thermal  | INFO     | Temperature reading: 26.1°C
2026-06-16 08:14:17 | Battery  | INFO     | Discharge current: 20.5A
2026-06-16 08:15:02 | Battery  | INFO     | Voltage measured: 456.6V
2026-06-16 08:15:45 | Battery  | INFO     | SOC reading: 55.0%
2026-06-16 08:16:29 | BMS      | INFO     | Max cell voltage diff: 0.03V
2026-06-16 08:17:05 | Battery  | INFO     | Charge current: 91.6A
2026-06-16 08:17:39 | Battery  | INFO     | SOC reading: 28.5%
2026-06-16 08:18:30 | Inverter | INFO     | AC output: 190.5 kW
2026-06-16 08:19:02 | Inverter | INFO     | Grid frequency: 50.01 Hz
2026-06-16 08:19:38 | Thermal  | INFO     | Fan speed: 2340 RPM
2026-06-16 08:20:17 | Battery  | INFO     | Voltage measured: 451.6V
2026-06-16 08:21:00 | Battery  | INFO     | Charge current: 24.2A
2026-06-16 08:21:43 | Inverter | INFO     | Grid frequency: 49.99 Hz
2026-06-16 08:22:34 | Battery  | INFO     | SOC reading: 46.8%
2026-06-16 08:23:12 | Battery  | INFO     | SOC reading: 45.9%
2026-06-16 08:23:50 | Thermal  | INFO     | Temperature reading: 36.1°C
2026-06-16 08:24:21 | Thermal  | INFO     | Fan speed: 1300 RPM
2026-06-16 08:25:11 | Battery  | INFO     | SOC reading: 75.3%
2026-06-16 08:25:47 | Battery  | INFO     | Charge current: 45.0A
2026-06-16 08:26:33 | Battery  | INFO     | SOC reading: 88.6%
2026-06-16 08:27:25 | Battery  | INFO     | Voltage measured: 398.0V
2026-06-16 08:27:56 | Battery  | INFO     | SOC reading: 69.7%
2026-06-16 08:28:44 | Thermal  | INFO     | Fan speed: 1410 RPM
2026-06-16 08:29:20 | Battery  | INFO     | Discharge current: 38.1A
2026-06-16 08:30:00 | Inverter | INFO     | Grid frequency: 49.94 Hz
2026-06-16 08:30:12 | Battery  | INFO     | Charge current: 95.1A
2026-06-16 08:30:40 | Thermal  | INFO     | Coolant loop flow: 10.02 L/min
2026-06-16 08:30:40 | Inverter | INFO     | Grid frequency: 49.81 Hz
2026-06-16 08:31:20 | Inverter | WARNING  | Grid frequency out of band: 49.66 Hz
2026-06-16 08:31:54 | Thermal  | INFO     | Fan speed: 1741 RPM
2026-06-16 08:32:00 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:32:31 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:32:57 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:33:13 | Battery  | INFO     | Discharge current: 91.2A
2026-06-16 08:33:17 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:33:45 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:33:58 | Battery  | INFO     | SOC reading: 56.0%
2026-06-16 08:34:14 | Inverter | WARNING  | Grid sync lost, retrying...
2026-06-16 08:34:34 | Inverter | INFO     | Grid frequency: 49.58 Hz
2026-06-16 08:34:36 | Battery  | INFO     | Voltage measured: 411.1V
2026-06-16 08:35:27 | BMS      | INFO     | Max cell voltage diff: 0.02V
2026-06-16 08:35:34 | Inverter | INFO     | Grid frequency: 49.79 Hz
2026-06-16 08:36:15 | Battery  | INFO     | Voltage measured: 425.4V
2026-06-16 08:36:34 | Inverter | INFO     | Grid frequency: 49.93 Hz
2026-06-16 08:37:04 | Battery  | INFO     | Charge current: 24.9A
2026-06-16 08:37:34 | Inverter | INFO     | Grid sync established
2026-06-16 08:37:37 | Battery  | INFO     | SOC reading: 58.0%
2026-06-16 08:38:04 | Site     | INFO     | Dispatch resumed
2026-06-16 08:38:58 | Site     | INFO     | Heartbeat OK
2026-06-16 08:39:40 | Battery  | INFO     | Discharge current: 58.8A
2026-06-16 08:40:15 | Battery  | INFO     | SOC reading: 46.6%
2026-06-16 08:40:45 | Battery  | INFO     | Charge current: 42.8A
2026-06-16 08:41:31 | Battery  | INFO     | Voltage measured: 396.3V
2026-06-16 08:42:12 | Battery  | INFO     | Charge current: 76.4A
2026-06-16 08:42:46 | Battery  | INFO     | Charge current: 40.1A
2026-06-16 08:43:15 | Battery  | INFO     | Discharge current: 61.1A
2026-06-16 08:43:54 | Battery  | INFO     | SOC reading: 58.2%
2026-06-16 08:44:42 | Thermal  | INFO     | Temperature reading: 36.3°C
2026-06-16 08:45:12 | Battery  | INFO     | Voltage measured: 410.7V
2026-06-16 08:46:29 | Thermal  | INFO     | Coolant loop flow: 10.99 L/min
2026-06-16 08:46:57 | Battery  | INFO     | SOC reading: 52.6%
2026-06-16 08:47:49 | Thermal  | INFO     | Fan speed: 1869 RPM
2026-06-16 08:48:35 | Battery  | INFO     | Discharge current: 16.5A
2026-06-16 08:49:19 | Thermal  | INFO     | Coolant loop flow: 11.39 L/min
2026-06-16 08:49:54 | Thermal  | INFO     | Temperature reading: 25.0°C
2026-06-16 08:50:26 | Inverter | INFO     | AC output: 147.8 kW
2026-06-16 08:51:17 | Thermal  | INFO     | Temperature reading: 36.2°C
2026-06-16 08:51:59 | Battery  | INFO     | SOC reading: 77.9%
2026-06-16 08:52:27 | Thermal  | INFO     | Temperature reading: 25.2°C
2026-06-16 08:52:56 | Inverter | INFO     | Grid frequency: 49.98 Hz
2026-06-16 08:53:28 | Inverter | INFO     | Grid frequency: 50.00 Hz
2026-06-16 08:54:09 | Inverter | INFO     | Grid frequency: 49.96 Hz
2026-06-16 08:54:39 | Battery  | INFO     | Charge current: 94.0A
2026-06-16 08:55:13 | Battery  | INFO     | Charge current: 29.9A
2026-06-16 08:56:00 | Battery  | INFO     | SOC reading: 60.7%
2026-06-16 08:56:42 | Battery  | INFO     | Voltage measured: 414.9V
2026-06-16 08:57:17 | Battery  | INFO     | Discharge current: 30.9A
2026-06-16 08:57:52 | Battery  | INFO     | SOC reading: 51.7%
2026-06-16 08:58:40 | Battery  | INFO     | Charge current: 11.9A
2026-06-16 08:59:23 | Thermal  | INFO     | Fan speed: 2225 RPM
2026-06-16 09:00:04 | Battery  | INFO     | SOC reading: 38.4%
2026-06-16 09:00:45 | Thermal  | INFO     | Fan speed: 1364 RPM
2026-06-16 09:01:28 | Battery  | INFO     | SOC reading: 46.3%
2026-06-16 09:02:09 | Battery  | INFO     | Charge current: 45.3A
2026-06-16 09:02:37 | Thermal  | INFO     | Temperature reading: 34.3°C
2026-06-16 09:03:21 | Battery  | INFO     | SOC reading: 57.7%
2026-06-16 09:03:55 | Battery  | INFO     | Charge current: 83.0A
2026-06-16 09:04:30 | Battery  | INFO     | Discharge current: 33.6A
2026-06-16 09:05:07 | Battery  | INFO     | SOC reading: 66.9%
2026-06-16 09:05:54 | Battery  | INFO     | Voltage measured: 409.1V
2026-06-16 09:06:35 | Thermal  | INFO     | Fan speed: 1015 RPM
2026-06-16 09:07:22 | Battery  | INFO     | SOC reading: 50.3%
2026-06-16 09:07:56 | Battery  | INFO     | SOC reading: 64.9%
2026-06-16 09:08:37 | Battery  | INFO     | SOC reading: 26.3%
2026-06-16 09:09:17 | Battery  | INFO     | Discharge current: 73.4A
2026-06-16 09:09:55 | Thermal  | INFO     | Temperature reading: 39.0°C
2026-06-16 09:10:28 | Battery  | INFO     | Charge current: 26.5A
2026-06-16 09:11:12 | Thermal  | INFO     | Temperature reading: 21.6°C
2026-06-16 09:12:01 | Thermal  | INFO     | Temperature reading: 36.1°C
2026-06-16 09:12:39 | Battery  | INFO     | Discharge current: 19.7A
2026-06-16 09:13:09 | Battery  | INFO     | Voltage measured: 417.1V
2026-06-16 09:13:40 | Inverter | INFO     | AC output: 159.9 kW
2026-06-16 09:14:20 | Battery  | INFO     | Charge current: 83.1A
2026-06-16 09:15:01 | Battery  | INFO     | SOC reading: 72.8%
2026-06-16 09:15:35 | Battery  | INFO     | Charge current: 91.8A
2026-06-16 09:16:09 | Battery  | INFO     | Charge current: 75.6A
2026-06-16 09:16:52 | Battery  | INFO     | SOC reading: 51.6%
2026-06-16 09:17:40 | Thermal  | INFO     | Temperature reading: 21.7°C
2026-06-16 09:18:09 | Battery  | INFO     | Discharge current: 81.5A
2026-06-16 09:18:38 | Battery  | INFO     | Voltage measured: 442.1V
2026-06-16 09:19:25 | Battery  | INFO     | Charge current: 34.2A
2026-06-16 09:20:12 | Battery  | INFO     | SOC reading: 75.7%
2026-06-16 09:21:02 | Battery  | INFO     | Charge current: 34.5A
2026-06-16 09:21:30 | Thermal  | INFO     | Temperature reading: 31.7°C
2026-06-16 09:22:18 | BMS      | INFO     | Max cell voltage diff: 0.01V
2026-06-16 09:22:53 | Battery  | INFO     | SOC reading: 73.5%
2026-06-16 09:23:35 | BMS      | INFO     | Max cell voltage diff: 0.03V
2026-06-16 09:24:11 | Thermal  | INFO     | Fan speed: 2568 RPM
2026-06-16 09:24:54 | Battery  | INFO     | SOC reading: 57.8%
2026-06-16 09:25:22 | Thermal  | INFO     | Coolant loop flow: 10.45 L/min
2026-06-16 09:26:12 | Thermal  | INFO     | Temperature reading: 31.9°C
2026-06-16 09:26:50 | Thermal  | INFO     | Coolant loop flow: 9.34 L/min
2026-06-16 09:27:37 | Battery  | INFO     | SOC reading: 36.2%
2026-06-16 09:28:29 | Battery  | INFO     | SOC reading: 51.4%
2026-06-16 09:29:17 | Battery  | INFO     | SOC reading: 61.8%
2026-06-16 09:29:55 | Battery  | INFO     | SOC reading: 52.7%
2026-06-16 09:30:26 | Site     | INFO     | Heartbeat OK
2026-06-16 09:31:02 | Inverter | INFO     | Grid frequency: 49.97 Hz
2026-06-16 09:31:43 | Battery  | INFO     | Discharge current: 73.2A
2026-06-16 09:32:25 | Battery  | INFO     | SOC reading: 31.6%
2026-06-16 09:33:07 | Inverter | INFO     | Grid frequency: 50.02 Hz
2026-06-16 09:33:58 | Inverter | INFO     | AC output: 162.3 kW
2026-06-16 09:34:50 | Battery  | INFO     | SOC reading: 82.5%
2026-06-16 09:35:27 | Battery  | INFO     | Voltage measured: 411.9V
2026-06-16 09:36:03 | Thermal  | INFO     | Temperature reading: 24.6°C
2026-06-16 09:36:38 | Battery  | INFO     | Voltage measured: 409.8V
2026-06-16 09:37:15 | Thermal  | INFO     | Fan speed: 2084 RPM
2026-06-16 09:37:49 | Battery  | INFO     | Charge current: 45.3A
2026-06-16 09:38:24 | Inverter | INFO     | AC output: 76.6 kW
2026-06-16 09:38:55 | Inverter | INFO     | Grid frequency: 50.05 Hz
2026-06-16 09:39:26 | Battery  | INFO     | SOC reading: 85.6%
2026-06-16 09:40:01 | Thermal  | INFO     | Coolant loop flow: 11.16 L/min
2026-06-16 09:40:30 | Thermal  | INFO     | Coolant loop flow: 8.43 L/min
2026-06-16 09:40:59 | Battery  | INFO     | Voltage measured: 456.3V
2026-06-16 09:41:45 | Battery  | INFO     | Voltage measured: 399.7V
2026-06-16 09:42:29 | Thermal  | INFO     | Coolant loop flow: 9.30 L/min
2026-06-16 09:43:05 | Thermal  | INFO     | Temperature reading: 33.0°C
2026-06-16 09:43:33 | Battery  | INFO     | SOC reading: 64.9%
2026-06-16 09:44:20 | Battery  | INFO     | Charge current: 13.3A
2026-06-16 09:44:58 | Battery  | INFO     | SOC reading: 36.7%
2026-06-16 09:45:34 | Battery  | INFO     | SOC reading: 74.7%
2026-06-16 09:46:08 | Thermal  | INFO     | Coolant loop flow: 10.78 L/min
2026-06-16 09:46:49 | Inverter | INFO     | Grid frequency: 49.97 Hz
2026-06-16 09:47:26 | Battery  | INFO     | SOC reading: 24.3%
2026-06-16 09:48:09 | Inverter | INFO     | AC output: 50.0 kW
2026-06-16 09:48:40 | Thermal  | INFO     | Temperature reading: 33.0°C
2026-06-16 09:49:12 | Inverter | INFO     | Grid frequency: 49.96 Hz
2026-06-16 09:49:45 | Battery  | INFO     | Charge current: 34.1A
2026-06-16 09:50:22 | Inverter | INFO     | Grid frequency: 49.99 Hz
2026-06-16 09:50:51 | Battery  | INFO     | Charge current: 60.4A
2026-06-16 09:51:30 | Battery  | INFO     | Discharge current: 11.6A
2026-06-16 09:52:22 | Site     | INFO     | Heartbeat OK
2026-06-16 09:53:01 | Inverter | INFO     | Grid frequency: 49.99 Hz
2026-06-16 09:53:41 | Battery  | INFO     | Voltage measured: 395.4V
2026-06-16 09:54:14 | Battery  | INFO     | Discharge current: 83.0A
2026-06-16 09:54:54 | Inverter | INFO     | AC output: 97.6 kW
2026-06-16 09:55:46 | Battery  | INFO     | SOC reading: 23.1%
2026-06-16 09:56:31 | Battery  | INFO     | SOC reading: 80.1%
2026-06-16 09:57:11 | Battery  | INFO     | SOC reading: 66.8%
2026-06-16 09:57:50 | Thermal  | INFO     | Temperature reading: 24.1°C
2026-06-16 09:58:29 | Battery  | INFO     | Voltage measured: 427.8V
2026-06-16 09:58:59 | Battery  | INFO     | SOC reading: 57.3%
