Timestamp,SOC (%),Power (MW),Frequency Regulation Signal (Hz),Operational Mode,Market Price (GBP/MWh)
2024-01-01 21:00:00,15.12,47.27,50.003,Energy Arbitrage,79.01
2024-01-01 21:15:00,10.78,34.75,50.027,Energy Arbitrage,75.87
2024-01-01 21:30:00,10.0,6.24,49.961,Energy Arbitrage,60.16
2024-01-01 21:45:00,10.0,0.0,49.925,Energy Arbitrage,52.98
2024-01-01 22:00:00,10.06,-0.45,49.927,Frequency Regulation,58.33
2024-01-01 22:15:00,10.12,-0.5,50.016,Frequency Regulation,59.2
2024-01-01 22:30:00,10.63,-4.1,49.927,Frequency Regulation,55.08
2024-01-01 22:45:00,10.58,0.37,50.153,Frequency Regulation,46.4
2024-01-01 23:00:00,10.82,-1.92,49.867,Frequency Regulation,41.77
2024-01-01 23:15:00,11.75,-7.43,49.748,Frequency Regulation,58.84
2024-01-01 23:30:00,12.59,-6.66,49.921,Frequency Regulation,66.87
2024-01-01 23:45:00,11.66,7.38,50.048,Frequency Regulation,39.95
2024-01-02 00:00:00,10.81,6.83,50.109,Frequency Regulation,43.17
2024-01-02 00:15:00,10.89,-0.65,49.724,Frequency Regulation,58.32
2024-01-02 00:30:00,10.39,3.99,49.934,Frequency Regulation,48.16
2024-01-02 00:45:00,10.0,3.14,49.844,Frequency Regulation,57.4
2024-01-02 01:00:00,15.47,-43.73,50.104,Energy Arbitrage,56.42
2024-01-02 01:15:00,20.6,-41.07,49.991,Energy Arbitrage,63.33
2024-01-02 01:30:00,25.85,-41.98,50.099,Energy Arbitrage,43.12
2024-01-02 01:45:00,30.37,-36.17,50.017,Energy Arbitrage,49.69
2024-01-02 02:00:00,34.97,-36.82,49.973,Energy Arbitrage,36.81
2024-01-02 02:15:00,38.83,-30.9,50.016,Energy Arbitrage,68.98
2024-01-02 02:30:00,43.17,-34.69,49.971,Energy Arbitrage,54.16
2024-01-02 02:45:00,47.18,-32.08,49.973,Energy Arbitrage,53.91
2024-01-02 03:00:00,52.4,-41.76,49.992,Energy Arbitrage,37.88
2024-01-02 03:15:00,57.01,-36.9,49.888,Energy Arbitrage,45.1
2024-01-02 03:30:00,61.15,-33.1,49.993,Energy Arbitrage,58.69
2024-01-02 03:45:00,66.18,-40.2,49.993,Energy Arbitrage,47.77
2024-01-02 04:00:00,71.4,-41.81,49.953,Energy Arbitrage,49.59
2024-01-02 04:15:00,75.82,-35.34,49.984,Energy Arbitrage,51.28
2024-01-02 04:30:00,79.93,-32.92,49.911,Energy Arbitrage,76.52
2024-01-02 04:45:00,84.6,-37.34,49.894,Energy Arbitrage,85.0
2024-01-02 05:00:00,84.52,0.65,49.964,Frequency Regulation,63.09
2024-01-02 05:15:00,85.58,-8.5,49.997,Frequency Regulation,57.25
2024-01-02 05:30:00,85.81,-1.79,49.972,Frequency Regulation,99.14
2024-01-02 05:45:00,85.83,-0.16,49.854,Frequency Regulation,94.74
2024-01-02 06:00:00,85.74,0.7,49.959,Frequency Regulation,93.06
2024-01-02 06:15:00,84.79,7.62,50.155,Frequency Regulation,63.0
2024-01-02 06:30:00,85.63,-6.71,50.135,Frequency Regulation,107.4
2024-01-02 06:45:00,84.72,7.21,50.089,Frequency Regulation,81.7
2024-01-02 07:00:00,80.59,33.06,50.006,Peak Shaving,104.38
2024-01-02 07:15:00,76.58,32.07,49.923,Peak Shaving,89.99
2024-01-02 07:30:00,72.44,33.11,49.989,Peak Shaving,134.1
2024-01-02 07:45:00,68.05,35.15,50.075,Peak Shaving,141.04
2024-01-02 08:00:00,64.09,31.68,50.055,Peak Shaving,115.6
2024-01-02 08:15:00,59.32,38.17,49.975,Peak Shaving,134.24
2024-01-02 08:30:00,54.51,38.49,50.033,Peak Shaving,133.1
2024-01-02 08:45:00,49.93,36.61,50.019,Peak Shaving,108.24
2024-01-02 09:00:00,45.77,33.27,49.995,Peak Shaving,110.7
2024-01-02 09:15:00,40.96,38.47,49.948,Peak Shaving,96.76
2024-01-02 09:30:00,35.5,43.71,49.945,Peak Shaving,126.3
2024-01-02 09:45:00,30.13,42.97,50.082,Peak Shaving,106.02
2024-01-02 10:00:00,30.55,-3.33,49.94,Frequency Regulation,107.6
2024-01-02 10:15:00,29.42,8.97,49.961,Frequency Regulation,98.15
2024-01-02 10:30:00,30.01,-4.69,49.958,Frequency Regulation,87.74
2024-01-02 10:45:00,30.92,-7.25,49.908,Frequency Regulation,74.31
2024-01-02 11:00:00,30.27,5.22,49.891,Frequency Regulation,77.32
2024-01-02 11:15:00,29.85,3.33,50.087,Frequency Regulation,74.93
2024-01-02 11:30:00,29.44,3.28,50.009,Frequency Regulation,70.36
2024-01-02 11:45:00,30.3,-6.92,49.833,Frequency Regulation,84.05
2024-01-02 12:00:00,34.43,-33.04,49.997,Peak Shaving,40.24
2024-01-02 12:15:00,37.81,-26.99,49.97,Peak Shaving,53.47
2024-01-02 12:30:00,42.02,-33.72,50.009,Peak Shaving,56.94
2024-01-02 12:45:00,45.53,-28.05,49.994,Peak Shaving,41.4
2024-01-02 13:00:00,50.25,-37.76,50.031,Peak Shaving,55.97
2024-01-02 13:15:00,53.67,-27.33,49.993,Peak Shaving,74.92
2024-01-02 13:30:00,57.72,-32.47,50.047,Peak Shaving,74.81
2024-01-02 13:45:00,61.79,-32.54,49.956,Peak Shaving,54.09
2024-01-02 14:00:00,66.09,-34.41,49.995,Peak Shaving,43.61
2024-01-02 14:15:00,70.82,-37.82,50.006,Peak Shaving,70.0
2024-01-02 14:30:00,75.36,-36.35,50.05,Peak Shaving,60.77
2024-01-02 14:45:00,78.9,-28.31,50.018,Peak Shaving,52.38
2024-01-02 15:00:00,78.02,7.08,49.998,Frequency Regulation,58.87
2024-01-02 15:15:00,77.21,6.49,49.822,Frequency Regulation,70.14
2024-01-02 15:30:00,76.98,1.79,49.911,Frequency Regulation,60.27
2024-01-02 15:45:00,76.3,5.49,49.991,Frequency Regulation,36.4
2024-01-02 16:00:00,75.75,4.4,50.264,Frequency Regulation,79.84
2024-01-02 16:15:00,75.96,-1.7,49.783,Frequency Regulation,94.65
2024-01-02 16:30:00,75.52,3.51,49.85,Frequency Regulation,127.41
2024-01-02 16:45:00,75.73,-1.7,49.797,Frequency Regulation,111.58
2024-01-02 17:00:00,76.09,-2.85,49.955,Frequency Regulation,116.52
2024-01-02 17:15:00,76.41,-2.6,50.003,Frequency Regulation,124.36
2024-01-02 17:30:00,77.02,-4.82,49.872,Frequency Regulation,114.53
2024-01-02 17:45:00,77.38,-2.92,49.939,Frequency Regulation,180.64
2024-01-02 18:00:00,72.07,42.53,49.945,Energy Arbitrage,131.53
2024-01-02 18:15:00,66.53,44.28,50.136,Energy Arbitrage,63.2
2024-01-02 18:30:00,60.32,49.68,49.919,Energy Arbitrage,141.17
2024-01-02 18:45:00,54.59,45.82,50.01,Energy Arbitrage,192.14
2024-01-02 19:00:00,50.24,34.81,50.051,Energy Arbitrage,149.26
2024-01-02 19:15:00,45.8,35.58,50.046,Energy Arbitrage,152.92
2024-01-02 19:30:00,40.45,42.8,50.109,Energy Arbitrage,136.38
2024-01-02 19:45:00,35.06,43.09,49.994,Energy Arbitrage,67.67
2024-01-02 20:00:00,29.19,46.95,49.998,Energy Arbitrage,148.15
2024-01-02 20:15:00,23.42,46.15,50.031,Energy Arbitrage,131.27
2024-01-02 20:30:00,18.85,36.56,50.032,Energy Arbitrage,137.62
2024-01-02 20:45:00,13.61,41.93,50.005,Energy Arbitrage,79.82
2024-01-02 21:00:00,10.0,28.89,49.989,Energy Arbitrage,77.61
2024-01-02 21:15:00,10.0,0.0,50.029,Energy Arbitrage,60.22
2024-01-02 21:30:00,10.0,0.0,50.031,Energy Arbitrage,62.19
2024-01-02 21:45:00,10.0,0.0,49.985,Energy Arbitrage,55.57
2024-01-02 22:00:00,10.57,-4.59,50.019,Frequency Regulation,60.24
2024-01-02 22:15:00,10.0,4.58,50.019,Frequency Regulation,63.92
2024-01-02 22:30:00,10.0,0.01,50.163,Frequency Regulation,39.46
2024-01-02 22:45:00,10.0,0.0,50.111,Frequency Regulation,82.62
2024-01-02 23:00:00,10.16,-1.27,50.116,Frequency Regulation,72.4
2024-01-02 23:15:00,10.74,-4.61,50.045,Frequency Regulation,27.57
2024-01-02 23:30:00,10.23,4.01,49.959,Frequency Regulation,30.51
2024-01-02 23:45:00,10.0,1.87,50.066,Frequency Regulation,26.65
2024-01-03 00:00:00,10.0,0.0,49.964,Frequency Regulation,47.75
2024-01-03 00:15:00,11.01,-8.06,50.022,Frequency Regulation,45.39
2024-01-03 00:30:00,11.14,-1.03,49.989,Frequency Regulation,46.7
2024-01-03 00:45:00,11.67,-4.28,49.885,Frequency Regulation,46.37
2024-01-03 01:00:00,16.78,-40.89,49.974,Energy Arbitrage,43.02
2024-01-03 01:15:00,22.2,-43.34,49.967,Energy Arbitrage,19.84
2024-01-03 01:30:00,26.15,-31.59,49.963,Energy Arbitrage,50.79
2024-01-03 01:45:00,30.99,-38.75,49.945,Energy Arbitrage,64.2
2024-01-03 02:00:00,35.94,-39.59,50.031,Energy Arbitrage,46.92
2024-01-03 02:15:00,40.8,-38.86,49.973,Energy Arbitrage,40.29
2024-01-03 02:30:00,44.99,-33.49,49.968,Energy Arbitrage,52.06
2024-01-03 02:45:00,50.27,-42.3,49.986,Energy Arbitrage,72.99
2024-01-03 03:00:00,54.5,-33.79,50.004,Energy Arbitrage,55.95
2024-01-03 03:15:00,58.43,-31.43,50.032,Energy Arbitrage,41.38
2024-01-03 03:30:00,62.33,-31.21,49.995,Energy Arbitrage,50.61
2024-01-03 03:45:00,67.18,-38.84,49.943,Energy Arbitrage,49.89
2024-01-03 04:00:00,71.3,-32.95,50.041,Energy Arbitrage,49.02
2024-01-03 04:15:00,76.52,-41.74,50.069,Energy Arbitrage,49.64
2024-01-03 04:30:00,81.68,-41.33,50.011,Energy Arbitrage,67.37
2024-01-03 04:45:00,85.81,-32.98,49.94,Energy Arbitrage,51.4
2024-01-03 05:00:00,85.11,5.58,50.042,Frequency Regulation,61.48
2024-01-03 05:15:00,84.01,8.81,50.128,Frequency Regulation,61.83
2024-01-03 05:30:00,83.46,4.43,50.135,Frequency Regulation,72.67
2024-01-03 05:45:00,83.75,-2.35,49.94,Frequency Regulation,102.19
2024-01-03 06:00:00,84.7,-7.59,50.14,Frequency Regulation,123.04
2024-01-03 06:15:00,84.73,-0.27,50.077,Frequency Regulation,122.36
2024-01-03 06:30:00,84.11,4.96,49.907,Frequency Regulation,102.64
2024-01-03 06:45:00,83.75,2.92,50.038,Frequency Regulation,129.07
2024-01-03 07:00:00,78.55,41.6,50.021,Peak Shaving,138.93
2024-01-03 07:15:00,74.51,32.29,49.962,Peak Shaving,121.48
2024-01-03 07:30:00,70.03,35.86,50.063,Peak Shaving,108.08
2024-01-03 07:45:00,65.14,39.11,50.053,Peak Shaving,162.8
2024-01-03 08:00:00,59.56,44.61,49.942,Peak Shaving,185.91
2024-01-03 08:15:00,55.2,34.88,50.034,Peak Shaving,94.21
2024-01-03 08:30:00,49.59,44.95,50.046,Peak Shaving,122.16
2024-01-03 08:45:00,45.11,35.79,49.977,Peak Shaving,141.69
2024-01-03 09:00:00,40.57,36.33,50.036,Peak Shaving,108.65
2024-01-03 09:15:00,35.69,39.02,50.021,Peak Shaving,105.73
2024-01-03 09:30:00,30.27,43.38,49.94,Peak Shaving,116.33
2024-01-03 09:45:00,25.0,42.14,49.988,Peak Shaving,91.32
2024-01-03 10:00:00,26.08,-8.6,49.934,Frequency Regulation,104.71
2024-01-03 10:15:00,25.93,1.21,49.985,Frequency Regulation,67.9
2024-01-03 10:30:00,25.24,5.48,49.964,Frequency Regulation,101.77
2024-01-03 10:45:00,24.59,5.19,50.059,Frequency Regulation,90.91
2024-01-03 11:00:00,24.06,4.27,50.025,Frequency Regulation,74.66
2024-01-03 11:15:00,23.76,2.41,49.97,Frequency Regulation,69.87
2024-01-03 11:30:00,23.42,2.68,50.156,Frequency Regulation,73.79
2024-01-03 11:45:00,22.83,4.78,50.085,Frequency Regulation,59.69
2024-01-03 12:00:00,26.77,-31.52,49.989,Peak Shaving,39.88
2024-01-03 12:15:00,31.19,-35.41,50.112,Peak Shaving,41.8
2024-01-03 12:30:00,35.7,-36.09,50.002,Peak Shaving,42.21
2024-01-03 12:45:00,39.67,-31.75,49.893,Peak Shaving,47.93
2024-01-03 13:00:00,44.42,-37.95,49.934,Peak Shaving,59.45
2024-01-03 13:15:00,49.22,-38.44,49.911,Peak Shaving,58.84
2024-01-03 13:30:00,53.39,-33.33,49.981,Peak Shaving,65.7
2024-01-03 13:45:00,57.38,-31.9,49.913,Peak Shaving,48.61
2024-01-03 14:00:00,61.92,-36.38,50.013,Peak Shaving,48.65
2024-01-03 14:15:00,65.47,-28.35,49.997,Peak Shaving,63.76
2024-01-03 14:30:00,69.23,-30.09,50.05,Peak Shaving,58.63
2024-01-03 14:45:00,73.02,-30.32,49.997,Peak Shaving,61.16
2024-01-03 15:00:00,72.4,4.97,50.115,Frequency Regulation,72.06
2024-01-03 15:15:00,72.49,-0.74,50.039,Frequency Regulation,65.6
2024-01-03 15:30:00,73.53,-8.35,49.867,Frequency Regulation,45.09
2024-01-03 15:45:00,74.17,-5.09,50.048,Frequency Regulation,80.65
2024-01-03 16:00:00,73.95,1.71,50.19,Frequency Regulation,82.96
2024-01-03 16:15:00,74.45,-3.94,50.076,Frequency Regulation,90.4
2024-01-03 16:30:00,74.87,-3.39,50.179,Frequency Regulation,111.41
2024-01-03 16:45:00,74.92,-0.37,49.934,Frequency Regulation,73.18
2024-01-03 17:00:00,73.99,7.46,50.25,Frequency Regulation,114.04
2024-01-03 17:15:00,72.96,8.23,50.127,Frequency Regulation,110.9
2024-01-03 17:30:00,73.97,-8.11,50.009,Frequency Regulation,118.4
2024-01-03 17:45:00,74.23,-2.07,49.93,Frequency Regulation,187.1
2024-01-03 18:00:00,69.43,38.39,49.99,Energy Arbitrage,117.31
2024-01-03 18:15:00,64.7,37.8,49.996,Energy Arbitrage,193.11
2024-01-03 18:30:00,59.71,39.94,50.004,Energy Arbitrage,185.49
2024-01-03 18:45:00,54.25,43.7,49.924,Energy Arbitrage,165.5
2024-01-03 19:00:00,49.36,39.15,50.024,Energy Arbitrage,157.79
2024-01-03 19:15:00,44.07,42.26,50.101,Energy Arbitrage,140.16
2024-01-03 19:30:00,39.29,38.26,49.88,Energy Arbitrage,85.35
2024-01-03 19:45:00,33.5,46.33,49.994,Energy Arbitrage,113.87
2024-01-03 20:00:00,27.56,47.54,50.001,Energy Arbitrage,155.99
2024-01-03 20:15:00,22.77,38.32,49.981,Energy Arbitrage,110.6
2024-01-03 20:30:00,17.56,41.68,49.978,Energy Arbitrage,95.92
2024-01-03 20:45:00,12.13,43.39,50.024,Energy Arbitrage,49.66
2024-01-03 21:00:00,10.0,17.07,49.967,Energy Arbitrage,88.57
2024-01-03 21:15:00,10.0,0.0,50.056,Energy Arbitrage,48.28
2024-01-03 21:30:00,10.0,0.0,49.97,Energy Arbitrage,72.26
2024-01-03 21:45:00,10.0,0.0,49.995,Energy Arbitrage,57.18
2024-01-03 22:00:00,10.95,-7.63,50.096,Frequency Regulation,56.74
2024-01-03 22:15:00,10.47,3.87,50.126,Frequency Regulation,53.58
2024-01-03 22:30:00,11.36,-7.1,50.141,Frequency Regulation,45.88
2024-01-03 22:45:00,10.31,8.4,50.082,Frequency Regulation,45.62
2024-01-03 23:00:00,11.4,-8.78,49.847,Frequency Regulation,59.88
2024-01-03 23:15:00,11.99,-4.73,50.132,Frequency Regulation,41.86
2024-01-03 23:30:00,13.1,-8.81,49.948,Frequency Regulation,42.54
2024-01-03 23:45:00,13.76,-5.28,49.989,Frequency Regulation,68.5
2024-01-04 00:00:00,14.03,-2.23,49.934,Frequency Regulation,45.3
2024-01-04 00:15:00,14.4,-2.93,49.975,Frequency Regulation,43.48
2024-01-04 00:30:00,14.95,-4.38,50.111,Frequency Regulation,40.37
2024-01-04 00:45:00,15.33,-3.07,50.185,Frequency Regulation,55.58
2024-01-04 01:00:00,20.35,-40.13,49.978,Energy Arbitrage,62.09
2024-01-04 01:15:00,24.26,-31.29,50.082,Energy Arbitrage,42.56
2024-01-04 01:30:00,29.2,-39.49,50.017,Energy Arbitrage,53.63
2024-01-04 01:45:00,33.65,-35.63,49.97,Energy Arbitrage,49.59
2024-01-04 02:00:00,37.56,-31.26,49.943,Energy Arbitrage,57.58
2024-01-04 02:15:00,41.53,-31.74,50.029,Energy Arbitrage,52.09
2024-01-04 02:30:00,46.89,-42.89,50.011,Energy Arbitrage,48.5
2024-01-04 02:45:00,51.77,-39.06,50.026,Energy Arbitrage,41.8
2024-01-04 03:00:00,56.19,-35.4,49.908,Energy Arbitrage,54.1
2024-01-04 03:15:00,59.97,-30.22,50.045,Energy Arbitrage,48.1
2024-01-04 03:30:00,65.44,-43.75,50.045,Energy Arbitrage,41.62
2024-01-04 03:45:00,70.25,-38.52,49.929,Energy Arbitrage,58.66
2024-01-04 04:00:00,74.6,-34.79,50.005,Energy Arbitrage,65.85
2024-01-04 04:15:00,79.01,-35.29,49.981,Energy Arbitrage,56.03
2024-01-04 04:30:00,84.21,-41.55,49.995,Energy Arbitrage,42.22
2024-01-04 04:45:00,89.3,-40.73,49.981,Energy Arbitrage,60.03
2024-01-04 05:00:00,89.63,-2.65,49.913,Frequency Regulation,82.51
2024-01-04 05:15:00,89.15,3.84,50.0,Frequency Regulation,67.18
2024-01-04 05:30:00,88.67,3.88,49.988,Frequency Regulation,97.76
2024-01-04 05:45:00,87.67,8.01,49.932,Frequency Regulation,92.13
2024-01-04 06:00:00,88.6,-7.5,49.943,Frequency Regulation,85.96
2024-01-04 06:15:00,88.16,3.55,50.157,Frequency Regulation,101.83
2024-01-04 06:30:00,88.47,-2.5,50.243,Frequency Regulation,86.88
2024-01-04 06:45:00,87.41,8.52,50.014,Frequency Regulation,104.85
2024-01-04 07:00:00,82.57,38.69,50.081,Peak Shaving,152.74
2024-01-04 07:15:00,78.29,34.23,49.976,Peak Shaving,99.72
2024-01-04 07:30:00,72.91,43.08,49.916,Peak Shaving,192.74
2024-01-04 07:45:00,67.51,43.19,49.985,Peak Shaving,123.61
2024-01-04 08:00:00,63.28,33.85,50.103,Peak Shaving,121.98
2024-01-04 08:15:00,59.15,32.97,49.958,Peak Shaving,92.95
2024-01-04 08:30:00,55.34,30.51,49.994,Peak Shaving,121.98
2024-01-04 08:45:00,49.71,45.03,50.133,Peak Shaving,155.53
2024-01-04 09:00:00,44.62,40.74,49.964,Peak Shaving,111.34
2024-01-04 09:15:00,39.69,39.47,49.951,Peak Shaving,113.66
2024-01-04 09:30:00,35.54,33.19,49.991,Peak Shaving,109.45
2024-01-04 09:45:00,31.01,36.18,50.006,Peak Shaving,91.12
2024-01-04 10:00:00,30.97,0.36,49.969,Frequency Regulation,84.33
2024-01-04 10:15:00,31.35,-3.02,50.155,Frequency Regulation,85.09
2024-01-04 10:30:00,30.96,3.08,49.974,Frequency Regulation,77.86
2024-01-04 10:45:00,30.74,1.8,50.24,Frequency Regulation,95.48
2024-01-04 11:00:00,30.46,2.23,50.023,Frequency Regulation,56.91
2024-01-04 11:15:00,29.89,4.53,49.812,Frequency Regulation,57.94
2024-01-04 11:30:00,29.13,6.09,50.035,Frequency Regulation,25.98
2024-01-04 11:45:00,29.28,-1.19,49.903,Frequency Regulation,65.65
2024-01-04 12:00:00,33.45,-33.36,49.956,Peak Shaving,36.47
2024-01-04 12:15:00,38.28,-38.66,49.992,Peak Shaving,44.69
2024-01-04 12:30:00,42.8,-36.16,50.015,Peak Shaving,52.49
2024-01-04 12:45:00,47.1,-34.37,49.952,Peak Shaving,65.58
2024-01-04 13:00:00,51.39,-34.31,49.957,Peak Shaving,52.59
2024-01-04 13:15:00,55.42,-32.26,50.011,Peak Shaving,56.6
2024-01-04 13:30:00,58.76,-26.73,49.999,Peak Shaving,42.74
2024-01-04 13:45:00,62.43,-29.35,49.943,Peak Shaving,48.5
2024-01-04 14:00:00,66.09,-29.3,50.047,Peak Shaving,49.63
2024-01-04 14:15:00,71.03,-39.53,50.046,Peak Shaving,73.22
2024-01-04 14:30:00,75.02,-31.9,49.913,Peak Shaving,45.12
2024-01-04 14:45:00,79.58,-36.45,49.967,Peak Shaving,59.6
2024-01-04 15:00:00,80.48,-7.23,49.894,Frequency Regulation,38.54
2024-01-04 15:15:00,80.39,0.68,49.94,Frequency Regulation,64.84
2024-01-04 15:30:00,80.97,-4.61,49.999,Frequency Regulation,68.21
2024-01-04 15:45:00,81.95,-7.87,50.101,Frequency Regulation,69.86
2024-01-04 16:00:00,82.19,-1.85,49.865,Frequency Regulation,101.14
2024-01-04 16:15:00,83.21,-8.17,50.125,Frequency Regulation,74.95
2024-01-04 16:30:00,83.64,-3.46,50.05,Frequency Regulation,133.3
2024-01-04 16:45:00,82.57,8.59,50.003,Frequency Regulation,61.64
2024-01-04 17:00:00,83.03,-3.68,50.014,Frequency Regulation,101.96
2024-01-04 17:15:00,83.71,-5.48,49.881,Frequency Regulation,168.11
2024-01-04 17:30:00,83.77,-0.5,49.904,Frequency Regulation,146.28
2024-01-04 17:45:00,82.66,8.92,50.218,Frequency Regulation,166.84
